SUBJECT CODE,BOOK ,AUTHOR,LINK TO PDF
ESC501,Fundamentals of Software Engineering,Rajib Mall,https://www.docdroid.net/gzKpqAI/software-engineering-rajib-mall-pdf
ESC501,An Integral Approach to Software Engineering,Pankaj Jalote,https://www.academia.edu/4660479/an_integral_approach_to_software_engineering_BY_PANKAJ_JALOTE
ESC501,Software Engineering International Edition,Ian Sommerville,https://learnengineering.in/software-engineering-international-edition-by-ian-sommerville-free-download-nw1/
ESC501,Software Engineering 3rd edition,K K Aggarwal ,https://www.pdfdrive.com/software-engineering-3rd-ed-by-kk-aggarwal-yogesh-singh-copyright-new-age-e38255524.html
CS501,Principles of Compiler Design,Aho and Ullman,https://learnengineering.in/pdf-principles-of-compiler-design-by-alfred-v-aho-j-d-ullman-free-download/
CS501,Compiler Design in C,Holub,https://learnengineering.in/pdf-compiler-design-in-c-by-allen-l-holub-free-download/
CS501,Introduction to Compilers and Language Design,Prof Douglas Thain,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www3.nd.edu/~dthain/compilerbook/compilerbook.pdf&ved=2ahUKEwivnsTPjqLuAhUEH7cAHShrARgQFjAFegQIERAB&usg=AOvVaw3WUGB5fnzQLrHxgzbrz3h1
CS502,Operating System Concepts 8th edition,Galvin,"https://www.google.com/url?sa=t&source=web&rct=j&url=http://www.uobabylon.edu.iq/download/M.S%25202013-2014/Operating_System_Concepts,_8th_Edition%255BA4%255D.pdf&ved=2ahUKEwizp-nSkKLuAhUFWX0KHcqAB7AQFjABegQIDxAB&usg=AOvVaw0BwLCaDRO-NcKVCNoY9oyg&cshid=1610857673712"
CS502,Operating System Internals and Design Principles,William Stallings,https://www.google.com/url?sa=t&source=web&rct=j&url=http://dinus.ac.id/repository/docs/ajar/Operating_System.pdf&ved=2ahUKEwj5-7r_kKLuAhUBbisKHTLQB4UQFjAJegQIIhAB&usg=AOvVaw1Y-DObZbWhsfr9H92y9Gw7
CS502,Operating System A Design Oriented Approach,Charles Crowley,https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.cs.unm.edu/~crowley/osbook/begin.html&ved=2ahUKEwiSotmmkaLuAhUOzTgGHVtUBL4QFjAAegQIARAB&usg=AOvVaw1HVTrTMMchfN_i95aR7q3f
CS502,Design of UNIX Operating System,Maurice Bauch,https://www.pdfdrive.com/the-design-of-the-unix-operating-system-maurice-bach-e25830714.html
CS503,Object Oriented Analysis and Design,Grady Booch,https://www.google.com/url?sa=t&source=web&rct=j&url=http://home.vinhuni.edu.vn/cuongvcc/wp-content/uploads/sites/109/2017/10/object_oriented_analysis_and_design_with_applications_2nd_edition_2788.pdf&ved=2ahUKEwj6nqGzlKLuAhWKH7cAHVQSAwQQFjABegQIERAB&usg=AOvVaw1Upw296YFbC4D3fuCCoOpg
CS503,Head First Object Oriented Analysis and Design,O REILLY,https://www.pdfdrive.com/head-first-object-oriented-analysis-design-e58232679.html
CS503,Java Programming Fundamentals,Premchand S Nair,https://www.pdfdrive.com/java-programming-fundamentals-problem-solving-through-object-oriented-analysis-and-design-e164852857.html
CS503,Java for Absolute Beginners,Iuliana Cosmina,https://www.pdfdrive.com/java-for-absolute-beginners-learn-to-program-the-fundamentals-the-java-9-way-e185771881.html
