SUBJECT CODE,ITEM NAME,PRICE,LINK ,SELLER ID
ESC501,Visual Paradigm Pro software,345.78,https://scholar.google.com/,2222
ESC501,Libre Office Pro Software,434.56,https://scholar.google.com/,3333
ESC501,Adobe XD Pro Software,945.8,https://scholar.google.com/,4444
ESC501,Autodesk Product Design Pro Software,324.8,https://scholar.google.com/,5555
CS502,Zorin operating system,290,https://scholar.google.com/,3652
CS502,Kubuntu operating system,543,https://scholar.google.com/,1112
CS502,ArchOS operating system,600,https://scholar.google.com/,3695
CS502,Kali Linux operating system,560,https://scholar.google.com/,6982
CS502,ParrotOS full edition operating system,760,https://scholar.google.com/,6932
CS502,Cyborg Hawk operating system,600.98,https://scholar.google.com/,1234
CS503,IntelliJ for Java software,1500.88,https://scholar.google.com/,5678
CS503,Apache Netbeans full software,450,https://scholar.google.com/,1689
